id_number,channel,group_name,prov,city,comp_rate,quiz
wihsali,Dealer-retail,DEALON04,Ontario,,1,98.94
wihsanumalashetty,Dealer-retail,DEALON04,Ontario,,1,94.69
wihschabbra,Dealer-retail,DEALON04,Ontario,,0.962,98
wihskhan,Dealer-retail,DEALON04,Ontario,,0.895,88.03
wihsmuhammad,Dealer-retail,DEALON04,Ontario,,0.905,86.44
wihssharma,Dealer-retail,DEALON04,Ontario,,0.938,92.66
wihvjoshi,Dealer-retail,DEALON04,Ontario,,0.846,91.08
wihymomin,Dealer-retail,DEALON04,Ontario,,0.879,92.14
wihzbilal,Dealer-retail,DEALON04,Ontario,,0.955,93.93
windtotarauser1,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.889,
wizri,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.978,98.57
wli,Corp-retail,CORPON03-ON Central,Ontario,Richmond Hill,0.789,86.43
wmanroe,Care,Windsor,,,0.875,85.54
wvmabangera,Dealer-retail,DEALON04,Ontario,,0.857,86.66
wvmashah,Dealer-retail,DEALON04,Ontario,,0.5,88.61
wvmasharma,Dealer-retail,DEALON04,Ontario,,0.75,77.14
wvmawadhwa,Dealer-retail,DEALON04,Ontario,,0.957,91.06
wvmdvaz,Dealer-retail,DEALON04,Ontario,,0.846,88.43
wvmgsandhu,Dealer-retail,DEALON04,Ontario,,0.771,86.5
wvmhanis,Dealer-retail,DEALON04,Ontario,,0.875,86.22
wvmhkaur,Dealer-retail,DEALON04,Ontario,,0.885,88.71
wvmhkaur1,Dealer-retail,DEALON04,Ontario,,0.968,93.33
wvmhpatwa,Dealer-retail,DEALON04,Ontario,,0.902,82.28
wvmjaulakh,Dealer-retail,DEALON04,Ontario,,0.786,78.71
wvmjaulakh1,Dealer-retail,DEALON04,Ontario,,1,90
wvmkcheema,Dealer-retail,DEALON04,Ontario,,0.813,92.14
wvmnkaur1,Dealer-retail,DEALON04,Ontario,,1,
wvmnpandher,Dealer-retail,DEALON04,Ontario,,1,96.65
wvmrjaura,Dealer-retail,DEALON04,Ontario,,0.846,90.86
wvmrkundaria,Dealer-retail,DEALON04,Ontario,,0.684,73.74
wvmrsingh,Dealer-retail,DEALON04,Ontario,,0.8,88.44
wvmsarora,Dealer-retail,DEALON04,Ontario,,0.786,85.44
wvmsaslam,Dealer-retail,DEALON04,Ontario,,0.714,94.29
wvmsgoyal,Dealer-retail,DEALON04,Ontario,,0.8,88.38
wvmskashyap,Dealer-retail,DEALON04,Ontario,,0.833,74.84
wvmsnijjar,Dealer-retail,DEALON04,Ontario,,0.929,85.72
wvmsshah,Dealer-retail,DEALON04,Ontario,,0.538,74.44
wvmssharma,Dealer-retail,DEALON04,Ontario,,0.923,89.5
wyee,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.833,99.44
wzeng,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.961,92.64
xsamuels,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.97,88.95
yamachampion,Dealer-retail,DEALED02,Alberta,,0.714,82.56
yamadaoud,Dealer-retail,DEALED02,Alberta,,0.803,67.15
yamdeshtayah,Dealer-retail,DEALED02,Alberta,,0.636,68.1
yamlabdikadir,Dealer-retail,DEALED02,Alberta,,0.75,88.89
yammdawod,Dealer-retail,DEALED02,Alberta,,0.842,72.22
yammdawod1,Dealer-retail,DEALED02,Alberta,,0.889,68.82
yammelidresi,Dealer-retail,DEALED02,Alberta,,0.927,80.43
yamnkhan,Dealer-retail,DEALED02,Alberta,,0.933,92.92
yamqmurad,Dealer-retail,DEALED02,Alberta,,0.985,82.88
yamualtaf,Dealer-retail,DEALED02,Alberta,,0.727,82.97
ymohammed,Care,Windsor,,,1,94.66
ypenghao,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.7,90.2
yshafie,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.976,90.19
zali,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.769,94.64
ZAlrsol,Care,Windsor,,,0.85,79.93
zazizi,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.789,83.89
zbuzreba,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.667,100
zfaabdirahman,Dealer-retail,DEALED02,Alberta,,0.667,74.37
zfaryabi,Corp-retail,CORPON03-ON Central,Ontario,Thornhill,0.769,88.56
zfmsalah,Dealer-retail,DEALED02,Alberta,,0.893,66.65
zfzfarah,Dealer-retail,DEALED02,Alberta,,0.923,96.41
zfzfarah1,Dealer-retail,DEALED02,Alberta,,0.6,80
zgill,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.837,85.79
zjetha,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.765,82.63
zkennedy,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.905,100
zkhudayer,Care,Windsor,,,0.9,90
zpadilla,Corp-retail,CORPON03-ON Central,Ontario,Barrie,0.5,87.5
zrendell,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.333,100
zvieira,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.6,94.66
